Danh_Muc,Ten_San_Pham,Gia_Nhap,Gia_Ban
SIM Số,0817012821 (Vinaphone),0,0
SIM Số,0917441107 (Vinaphone),0,0
SIM Số,0916713327 (Vinaphone),0,0
SIM Số,0917076302 (Vinaphone),0,0
SIM Số,0916952473 (Vinaphone),0,0
SIM Số,0354222051 (Viettel),0,0
SIM Số,0383754953 (Viettel),0,0
SIM Số,0392071130 (Viettel),0,0
SIM Số,0379403016 (Viettel),0,0
SIM Số,0347304914 (Viettel),0,0
SIM Số,0333720761 (Viettel),0,0
SIM Số,0337189563 (Viettel),0,0
SIM Số,0367385163 (Viettel),0,0
SIM Số,0377516063 (Viettel),0,0
SIM Số,0359224907 (Viettel),0,0
SIM Số,0353884063 (Viettel),0,0
SIM Số,0334675641 (Viettel),0,0
SIM Số,0867891709 (Viettel),0,0
SIM Số,0335344570 (Viettel),0,0
SIM Số,0961478702 (Viettel),0,0
SIM Số,0384514490 (Viettel),0,0
SIM Số,0337502216 (Viettel),0,0
SIM Số,0374342422 (Viettel),0,0
SIM Số,0346215480 (Viettel),0,0
SIM Số,0378348792 (Viettel),0,0
SIM Số,0346532389 (Viettel),0,0
SIM Số,0769325845 (Mobifone),0,0
SIM Số,0769359130 (Mobifone),0,0
SIM Số,0769309470 (Mobifone),0,0
SIM Số,0769348571 (Mobifone),0,0
SIM Số,0769319420 (Mobifone),0,0
SIM Số,0769357098 (Mobifone),0,0
SIM Số,0769388018 (Mobifone),0,0
SIM Số,0769311047 (Mobifone),0,0
SIM Số,0769390837 (Mobifone),0,0
SIM Số,0901094358 (Mobifone),0,0
SIM Số,0907334085 (Mobifone),0,0
SIM Số,0932892564 (Mobifone),0,0
SIM Số,0932897583 (Mobifone),0,0
SIM Số,0939698963 (Mobifone),0,1000000
SIM Số,0904107378 (Mobifone),0,1000000
SIM Số,0779853878 (Mobifone),0,2000000
SIM Số,0939168114 (Mobifone),0,2000000
SIM Số,0799526838 (Mobifone),0,1000000
SIM Số,0907797344 (Mobifone),0,1000000
SIM Số,0939464776 (Mobifone),0,1000000
SIM Số,0939913585 (Mobifone),0,1000000
SIM Số,0795941555 (Mobifone),0,1500000
SIM Số,0702977333 (Mobifone),0,1300000
SIM Số,0762823555 (Mobifone),0,1500000
SIM Số,0763225777 (Mobifone),0,2900000
SIM Số,0782880777 (Mobifone),0,2900000
SIM Số,0704842999 (Mobifone),0,3900000
SIM Số,0782884123 (Mobifone),0,1000000
SIM Số,0704866234 (Mobifone),0,1000000
SIM Số,0931007456 (Mobifone),0,2900000
SIM Số,0907521879 (Mobifone),0,3000000
SIM Số,0932957115 (Mobifone),0,1000000
SIM Số,0907681959 (Mobifone),0,1000000
SIM Số,0932840969 (Mobifone),0,1000000
SIM Số,0907542789 (Mobifone),0,3900000
SIM Số,0788871386 (Mobifone),0,2600000
SIM Số,0768471368 (Mobifone),0,2900000
SIM Số,0901078883 (Mobifone),0,2000000
SIM Số,0776808008 (Mobifone),0,6000000
SIM Số,0787827939 (Mobifone),0,2500000
SIM Số,0798770222 (Mobifone),0,1200000
SIM Số,0899014678 (Mobifone),0,1000000
SIM Số,0796868166 (Mobifone),0,1000000
SIM Số,0766949115 (Mobifone),0,1000000
SIM Số,0907337292 (Mobifone),0,1000000
SIM Số,0939424357 (Mobifone),0,1000000
SIM Số,0939518929 (Mobifone),0,1000000
SIM Số,0939420304 (Mobifone),0,1000000
SIM Số,0939519869 (Mobifone),0,1000000
SIM Số,0907115383 (Mobifone),0,1000000
SIM Số,0901083879 (Mobifone),0,1600000
SIM Số,0907539368 (Mobifone),0,1800000
SIM Số,0939516009 (Mobifone),0,1000000
SIM Số,0939513996 (Mobifone),0,1000000
SIM Số,0901757044 (Mobifone),0,1000000
SIM Số,0779824379 (Mobifone),0,1000000
SIM Số,0779837768 (Mobifone),0,1000000
SIM Số,0786917089 (Mobifone),0,1000000
SIM Số,0777832899 (Mobifone),0,1000000
SIM Số,0766834569 (Mobifone),0,1000000
SIM Số,0939515977 (Mobifone),0,1000000
SIM Số,0931007838 (Mobifone),0,2000000
SIM Số,0797127838 (Mobifone),0,1000000
SIM Số,0776867838 (Mobifone),0,1000000
SIM Số,0788743878 (Mobifone),0,1500000
SIM Số,0794807838 (Mobifone),0,1000000
SIM Số,0788778386 (Mobifone),0,2900000
SIM Số,0907245238 (Mobifone),0,2000000
SIM Số,0763934555 (Mobifone),0,1000000
SIM Số,0899024168 (Mobifone),0,1000000
SIM Số,0931075739 (Mobifone),0,1000000
SIM Số,0907406168 (Mobifone),0,1600000
SIM Số,0907304168 (Mobifone),0,1600000
Phụ kiện,Adaptor 24V 1.5A,135000,220000
Phụ kiện,Adaptor 36V 2A- Đài Loan,425000,680000
Phụ kiện,Bình áp nhựa Yangdong 4.0G,360000,550000
Phụ kiện,Bình áp thép Tankpac 11G- Đài Loan,1800000,2450000
Phụ kiện,Bình áp thép 11G- Trung Quốc,1600000,2200000
Phụ kiện,Bơm 24V Headon HF-8369- Đài Loan,560000,850000
